time,iso3_ref,iso3_cp,Source country,Sector,Sub-sector,Cluster,Activity,Jobs created,Capital investment,Project status,Destination state,Aggregate
2024-07-01,USA,GBR,United Kingdom,IT,Cloud,Tech,M&A,2020,1062518574.0,Announced,Virginia,UK
2020-04-01,USA,CHN,China,Semiconductors,Cybersecurity,Tech,Manufacturing Plant,1630,2751621248.0,Announced,California,China
2023-09-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Manufacturing Plant,1063,698990074.0,Announced,North Carolina,China
2017-03-01,USA,CAN,Canada,Mining,Oil & Gas,Energy,Manufacturing Plant,1878,2142940565.0,Opened,Illinois,NAFTA (-US)
2024-11-01,USA,CHN,China,Semiconductors,Cloud,Tech,New Investment,137,39019913.0,Opened,Texas,China
2021-12-01,USA,MEX,Mexico,Logistics,Renewables,Commodities,Expansion,1637,1619340571.0,Opened,Washington,NAFTA (-US)
2021-01-01,USA,CHN,China,Semiconductors,Software,Digital Economy,Headquarters,2219,198012180.0,Opened,Massachusetts,China
2017-09-01,USA,CHN,China,Manufacturing,Robotics,Automotive Hub,New Investment,1752,1381762107.0,Announced,Texas,China
2024-07-01,USA,MEX,Mexico,Automotive,Batteries,Industrial,Logistics Hub,872,2210749302.0,Opened,Florida,NAFTA (-US)
2022-11-01,USA,JPN,Japan,Automotive,Hardware,Industrial,M&A,944,409936794.0,Announced,North Carolina,Other
2023-03-01,USA,MEX,Mexico,Construction,Robotics,Automotive Hub,Expansion,349,2065607426.0,Announced,California,NAFTA (-US)
2022-03-01,USA,CHE,Switzerland,Manufacturing,Hardware,Industrial,Logistics Hub,173,113514531.0,Announced,Pennsylvania,Other
2022-03-01,USA,IND,India,Telecom,Batteries,Deep Tech,R&D,1462,1708895287.0,Opened,New York,BRICS
2023-04-01,USA,CHN,China,Semiconductors,Cloud,Digital Economy,Manufacturing Plant,667,2124813760.0,Opened,Ohio,China
2024-04-01,USA,CHN,China,Semiconductors,Cybersecurity,Deep Tech,New Investment,601,2068438662.0,Announced,Texas,China
2024-08-01,USA,CHN,China,Manufacturing,Transport,Industrial,Manufacturing Plant,980,389846739.0,Opened,Massachusetts,China
2017-12-01,USA,ZAF,South Africa,Manufacturing,Hardware,Industrial,Headquarters,359,331439002.0,Opened,Texas,BRICS
2016-03-01,USA,CHN,China,Manufacturing,Hardware,Automotive Hub,R&D,274,1078242739.0,Announced,Pennsylvania,China
2017-10-01,USA,CHN,China,Telecom,Cybersecurity,Tech,R&D,861,2422879507.0,Opened,New York,China
2020-05-01,USA,CAN,Canada,Mining,Green Tech,Energy,Logistics Hub,693,1540282778.0,Opened,California,NAFTA (-US)
2016-02-01,USA,CHN,China,Manufacturing,Batteries,Industrial,Expansion,1106,2820408963.0,Announced,Massachusetts,China
2023-04-01,USA,ARE,UAE,Manufacturing,Transport,Industrial,R&D,114,117179456.0,Announced,Pennsylvania,Other
2024-12-01,USA,IND,India,IT,Cloud,Digital Economy,Manufacturing Plant,154,437443507.0,Announced,Washington,BRICS
2018-06-01,USA,NOR,Norway,IT,Batteries,Deep Tech,Manufacturing Plant,266,385957498.0,Opened,North Carolina,Other
2019-02-01,USA,EGY,Egypt,Manufacturing,Robotics,Industrial,New Investment,41,167402920.0,Opened,California,Other
2016-02-01,USA,CAN,Canada,Energy,Oil & Gas,Energy,New Investment,1925,154899641.0,Announced,Florida,NAFTA (-US)
2021-04-01,USA,CHN,China,Manufacturing,Batteries,Industrial,M&A,1217,752771792.0,Opened,Pennsylvania,China
2020-12-01,USA,IND,India,IT,Batteries,Digital Economy,Innovation Center,2402,2918844727.0,Announced,North Carolina,BRICS
2017-09-01,USA,CHE,Switzerland,Manufacturing,Hardware,Automotive Hub,Logistics Hub,580,350765060.0,Opened,Georgia,Other
2018-09-01,USA,IND,India,Telecom,Batteries,Digital Economy,New Investment,651,2419660919.0,Announced,Georgia,BRICS
2022-04-01,USA,ESP,Spain,Finance,Banking,Services,M&A,99,328071051.0,Announced,Washington,EU
2020-10-01,USA,IND,India,IT,Cloud,Deep Tech,M&A,2330,1213511378.0,Announced,North Carolina,BRICS
2017-10-01,USA,CHE,Switzerland,Energy,Oil & Gas,Energy,Expansion,109,236865030.0,Announced,Florida,Other
2024-12-01,USA,CHN,China,Semiconductors,Hardware,Deep Tech,Expansion,2039,1722231748.0,Announced,Georgia,China
2023-05-01,USA,CHN,China,Automotive,Transport,Automotive Hub,Manufacturing Plant,405,2046046377.0,Opened,New York,China
2020-01-01,USA,CHN,China,Manufacturing,Hardware,Industrial,Logistics Hub,84,2137117390.0,Announced,California,China
2023-07-01,USA,CAN,Canada,Energy,Green Tech,Energy,Expansion,221,1096744135.0,Announced,New York,NAFTA (-US)
2020-11-01,USA,CHN,China,Manufacturing,Robotics,Automotive Hub,New Investment,1392,1424259538.0,Announced,Massachusetts,China
2019-06-01,USA,DEU,Germany,Aerospace,Transport,Automotive Hub,Headquarters,112,141116269.0,Announced,Pennsylvania,EU
2023-08-01,USA,ITA,Italy,Manufacturing,Transport,Industrial,Headquarters,494,305822520.0,Opened,Ohio,EU
2020-12-01,USA,NGA,Nigeria,Energy,Oil & Gas,Green Growth,New Investment,475,296585347.0,Announced,Washington,Other
2022-08-01,USA,CHN,China,Logistics,Oil & Gas,Industrial,M&A,1914,2177406692.0,Opened,Illinois,China
2017-03-01,USA,CHN,China,Semiconductors,Batteries,Deep Tech,Expansion,1921,1758611458.0,Opened,Pennsylvania,China
2021-02-01,USA,CHN,China,Semiconductors,Cloud,Tech,New Investment,1391,204817662.0,Announced,Illinois,China
2021-02-01,USA,CHN,China,Manufacturing,Batteries,Industrial,Headquarters,2237,2979266849.0,Opened,Illinois,China
2019-11-01,USA,KEN,Kenya,Energy,Oil & Gas,Commodities,Manufacturing Plant,536,127548713.0,Opened,California,Other
2021-02-01,USA,CHN,China,Semiconductors,Batteries,Deep Tech,R&D,290,1990031088.0,Opened,Washington,China
2020-03-01,USA,KOR,South Korea,IT,Software,Tech,R&D,471,195205620.0,Announced,Ohio,Other
2024-12-01,USA,CAN,Canada,Energy,Oil & Gas,Energy,Headquarters,279,161566596.0,Opened,California,NAFTA (-US)
2020-07-01,USA,EGY,Egypt,Manufacturing,Robotics,Industrial,Logistics Hub,254,200777204.0,Opened,Massachusetts,Other
2021-04-01,USA,SWE,Sweden,Energy,Oil & Gas,Energy,R&D,509,178723896.0,Opened,California,EU
2016-03-01,USA,CHN,China,Semiconductors,AI,Digital Economy,M&A,700,2244364149.0,Opened,New York,China
2024-05-01,USA,NLD,Netherlands,Manufacturing,Hardware,Automotive Hub,M&A,326,234853028.0,Announced,North Carolina,EU
2020-03-01,USA,MEX,Mexico,Automotive,Robotics,Industrial,Expansion,1674,861599719.0,Announced,Georgia,NAFTA (-US)
2016-07-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,Manufacturing Plant,2439,874562470.0,Opened,California,NAFTA (-US)
2017-09-01,USA,CHN,China,Semiconductors,Hardware,Digital Economy,Headquarters,1958,43538836.0,Announced,Texas,China
2022-01-01,USA,DEU,Germany,Manufacturing,Batteries,Automotive Hub,New Investment,212,989832002.0,Opened,Massachusetts,EU
2019-03-01,USA,CHN,China,Manufacturing,Transport,Industrial,M&A,384,6530034.0,Opened,Georgia,China
2017-06-01,USA,CHN,China,Automotive,Batteries,Automotive Hub,New Investment,342,821048579.0,Opened,Washington,China
2016-04-01,USA,MEX,Mexico,Logistics,Transport,Digital Economy,Headquarters,844,963533157.0,Announced,Florida,NAFTA (-US)
2023-05-01,USA,IND,India,Telecom,Batteries,Digital Economy,R&D,1535,2751708899.0,Opened,Georgia,BRICS
2020-12-01,USA,CAN,Canada,Manufacturing,Batteries,Industrial,Manufacturing Plant,1989,1815378582.0,Opened,North Carolina,NAFTA (-US)
2017-02-01,USA,IND,India,Finance,E-commerce,Fintech,R&D,1850,1301278321.0,Announced,Illinois,BRICS
2025-06-01,USA,IND,India,IT,Cloud,Tech,M&A,869,1086026159.0,Opened,Florida,BRICS
2016-09-01,USA,CHE,Switzerland,Manufacturing,Hardware,Industrial,Innovation Center,411,92278002.0,Announced,North Carolina,Other
2023-06-01,USA,MEX,Mexico,Automotive,Robotics,Automotive Hub,Innovation Center,206,538601976.0,Opened,Florida,NAFTA (-US)
2020-05-01,USA,CHN,China,Semiconductors,Software,Deep Tech,M&A,496,1742887971.0,Announced,Virginia,China
2016-02-01,USA,IND,India,IT,Hardware,Tech,Innovation Center,1046,1688960532.0,Announced,North Carolina,BRICS
2022-12-01,USA,JPN,Japan,Construction,Batteries,Automotive Hub,Manufacturing Plant,310,2536970196.0,Opened,New York,Other
2023-08-01,USA,SWE,Sweden,Manufacturing,Batteries,Industrial,Headquarters,272,337165178.0,Opened,Pennsylvania,EU
2025-03-01,USA,CHN,China,Mining,Green Tech,Green Growth,M&A,1823,88982879.0,Opened,Ohio,China
2020-12-01,USA,MEX,Mexico,Automotive,Robotics,Industrial,M&A,443,1155630561.0,Opened,Virginia,NAFTA (-US)
2021-11-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,Logistics Hub,254,2507485000.0,Opened,Georgia,China
2019-08-01,USA,CHN,China,Semiconductors,AI,Digital Economy,Expansion,977,2699303711.0,Opened,North Carolina,China
2016-08-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,M&A,10,2069805077.0,Opened,Florida,China
2019-11-01,USA,CHN,China,Manufacturing,Transport,Automotive Hub,Manufacturing Plant,1584,1273915123.0,Announced,North Carolina,China
2018-11-01,USA,MAR,Morocco,Agriculture,AI,Tech,Manufacturing Plant,111,384273880.0,Announced,Texas,Other
2022-06-01,USA,GBR,United Kingdom,IT,AI,Tech,Expansion,1659,2405775524.0,Opened,Georgia,UK
2022-09-01,USA,MEX,Mexico,Automotive,Batteries,Automotive Hub,Headquarters,1857,2185868312.0,Opened,Illinois,NAFTA (-US)
2018-12-01,USA,PRT,Portugal,Manufacturing,Hardware,Automotive Hub,M&A,563,248985384.0,Announced,Pennsylvania,EU
2020-02-01,USA,CHN,China,Manufacturing,Robotics,Industrial,Expansion,895,683207169.0,Announced,Florida,China
2024-08-01,USA,CHN,China,Semiconductors,Cybersecurity,Tech,Innovation Center,104,774134862.0,Opened,Ohio,China
2016-04-01,USA,CHN,China,Energy,Green Tech,Commodities,New Investment,1915,524316974.0,Announced,Illinois,China
2016-02-01,USA,CHN,China,Manufacturing,Batteries,Automotive Hub,Manufacturing Plant,407,537608889.0,Announced,Texas,China
2016-06-01,USA,DEU,Germany,Automotive,Robotics,Industrial,Headquarters,167,1480263288.0,Announced,Massachusetts,EU
2020-06-01,USA,NLD,Netherlands,Manufacturing,Transport,Automotive Hub,New Investment,593,132733665.0,Opened,California,EU
2024-10-01,USA,ARG,Argentina,Energy,Oil & Gas,Green Growth,Logistics Hub,477,73946504.0,Opened,Virginia,Other
2016-04-01,USA,CHN,China,Manufacturing,Batteries,Automotive Hub,Innovation Center,1165,916717445.0,Opened,Virginia,China
2020-06-01,USA,DEU,Germany,Manufacturing,Robotics,Industrial,Headquarters,262,2856981139.0,Opened,Florida,EU
2023-09-01,USA,NOR,Norway,IT,Batteries,Deep Tech,Logistics Hub,308,139040308.0,Announced,North Carolina,Other
2021-03-01,USA,CHL,Chile,Manufacturing,Robotics,Automotive Hub,Headquarters,515,327347070.0,Opened,Illinois,Other
2017-06-01,USA,VEN,Venezuela,IT,Cloud,Digital Economy,Expansion,561,198005935.0,Announced,Texas,Other
2023-06-01,USA,CHN,China,Automotive,Robotics,Automotive Hub,Innovation Center,175,1869903276.0,Opened,California,China
2019-08-01,USA,CHN,China,Manufacturing,Robotics,Automotive Hub,Logistics Hub,2231,2359467519.0,Opened,Washington,China
2018-10-01,USA,CAN,Canada,Energy,Green Tech,Commodities,Logistics Hub,65,1340161168.0,Opened,Virginia,NAFTA (-US)
2022-02-01,USA,IND,India,IT,Hardware,Tech,M&A,1498,700431438.0,Opened,Texas,BRICS
2021-02-01,USA,SWE,Sweden,Energy,Green Tech,Energy,M&A,100,155702111.0,Announced,Virginia,EU
2024-04-01,USA,IND,India,Telecom,Cybersecurity,Digital Economy,Headquarters,1152,1650992337.0,Announced,Florida,BRICS
2017-02-01,USA,CHN,China,Manufacturing,Batteries,Industrial,R&D,369,108404882.0,Opened,California,China
2023-11-01,USA,SGP,Singapore,IT,Batteries,Tech,Innovation Center,43,382440627.0,Announced,California,Other
2019-12-01,USA,CAN,Canada,Energy,Renewables,Green Growth,R&D,78,2645521504.0,Announced,Illinois,NAFTA (-US)
2017-03-01,USA,ARE,UAE,Manufacturing,Hardware,Automotive Hub,Innovation Center,270,269328380.0,Announced,Massachusetts,Other
2021-12-01,USA,DEU,Germany,Manufacturing,Robotics,Automotive Hub,New Investment,759,1009403075.0,Announced,Texas,EU
